domain,sample,rel_noise,dRMSE
ALS-2cm,V1-Center,0.1400008861937309,7.097871699530955
ALS-2cm,V2-Southwest,0.22363313018201686,5.8785318041731704
ALS-2cm,V3-Southeast,0.23544831546307365,8.657369885683874
ALS-2cm,V4-North,0.20177914380270257,13.065211260092436
ALS-2cm,D1-Urban,0.25668609006118714,5.876741013583242
ALS-2cm,D2-Suburban,0.2739433182971218,2.3517232164634194
ALS-2cm,D3-Mixed,0.26820644663510795,5.910192817765836
ALS-2cm,D4-Test,0.2772503545065133,3.7739119201397497
ALS-5cm,V1-Center,0.2899761426634684,14.332967413859599
ALS-5cm,V2-Southwest,0.4400761575762829,15.20655511544826
ALS-5cm,V3-Southeast,0.47946003435745344,21.95356659665325
ALS-5cm,V4-North,0.37889977046383033,25.855945662242963
ALS-5cm,D1-Urban,0.4382065688267045,29.343333793010494
ALS-5cm,D2-Suburban,0.4520000955371019,23.71389885108034
ALS-5cm,D3-Mixed,0.44928554844309526,32.83557276386424
ALS-5cm,D4-Test,0.4460381080025137,34.62819060110361
ALS-10cm,V1-Center,0.5539276516184771,19.14571793659423
ALS-10cm,V2-Southwest,0.6974565006829843,18.845699732545818
ALS-10cm,V3-Southeast,0.7554039151706079,24.356718316920322
ALS-10cm,V4-North,0.6146554343577632,31.4587689670784
ALS-10cm,D1-Urban,0.680668950242821,35.429005018195134
ALS-10cm,D2-Suburban,0.7126849268953842,31.667476384073233
ALS-10cm,D3-Mixed,0.7201721331363989,39.95029791430781
ALS-10cm,D4-Test,0.7076525078582155,41.99243701208923
ModelNet40,airplane,1.1632749485403,2.9998064964123383
ModelNet40,chair,1.1014392748608741,7.606103026552424
ModelNet40,car,1.1345360184573623,3.226108452606724
ModelNet40,table,1.1236593510314015,4.936968441656353
ModelNet40,guitar,1.1523073445096415,2.398426035985124
ModelNet40,cone,1.130261528581434,4.0530704089488
ModelNet40,bottle,1.1127770992449437,7.573722938349192
ModelNet40,piano,1.0388232408779534,8.01471341030976
