variant,als_Z,als_Planar,als_Edge,als_Bdry,mn_RMSE,mn_CD,time
full,24.661443071955148,31.132572094364313,3.827867770391413,5.6106005617603785,5.068936860702049,23.78824994563182,67.14702916145325
fixed-lam,24.372724367862762,30.836674293321572,3.823090177839114,5.746837605644796,3.4535178687079657,14.329133222925801,67.10192036628723
no-anchor,25.92885004713976,32.52406047056537,3.8699744319883265,6.218331285318493,5.491069051109973,26.46265718914875,66.68006801605225
no-buffer,24.333694159850488,31.973044944578263,-0.16201792909066165,-2.5296504520718712,5.8690238645157216,28.43054778280088,68.21476650238037
no-geomw,24.55994012270738,30.8674855602573,4.256730538168969,5.5677657107353715,5.18017261689274,24.867519955454707,68.62417316436768
mad-struct,22.542039056387555,28.565617843970536,2.448548087060267,5.3835766390193855,4.145183138751173,19.19730822584512,66.0847225189209
fixed-cap,15.368895319104027,19.187905198747018,3.2669576996733474,4.824075514432606,1.3080188337988659,5.169174716220807,65.73991203308105
no-binormal,24.66171669577475,31.132556847340084,3.8302304159711786,5.607956526971329,5.068496852828112,23.786219263734978,65.87328100204468
gd-solver,24.875901119499133,31.40166158396097,3.8577708907585118,5.6906596755049526,5.017624084979073,23.32251031368282,66.97225308418274
