domain,variant,m1,m2,m3
ALS,full,24.733753849657845,3.8797751818436943,5.625010651432657
ALS,isotropic,24.65837055476495,3.8051592366844234,5.583719036415266
ALS,shuffled,24.74160745440968,3.9415953495632072,5.651063956027004
MN40,full,4.988335481739506,22.843806113291972,nan
MN40,isotropic,4.961355097360961,22.70020050541339,nan
MN40,shuffled,4.991844270951029,22.866488803138026,nan
ridge90,full,36.87591747079079,8.89624845774295,nan
ridge90,isotropic,36.6329000924646,8.5723527170103,nan
ridge90,shuffled,36.89847827060911,8.93904865987043,nan
ridge90,oracle,37.235083016896134,10.41526915088722,nan
asym_roof,full,36.463572982117974,13.947382000613228,nan
asym_roof,isotropic,36.18994580460757,13.300901853462,nan
asym_roof,shuffled,36.4826933211581,13.993073931966693,nan
asym_roof,oracle,36.84259656613852,15.857016388657774,nan
sym_crease,full,7.016652061636785,0.18253336029174783,nan
sym_crease,isotropic,6.867227407966869,0.15753866639252045,nan
sym_crease,shuffled,7.021945173870591,0.18530160809581142,nan
sym_crease,oracle,7.172071482624487,0.2573239956739637,nan
curved,full,37.0578881131265,18.744336898742052,nan
curved,isotropic,36.797801304139234,18.11049108553171,nan
curved,shuffled,37.07054110107926,18.773143069877197,nan
curved,oracle,37.42059200094809,19.98657448783647,nan
