method,F1_fixed,F1_oracle
Calibrated,0.8626943005181348,0.8676671214188268
Calibrated,0.8465608465608466,0.8491048593350383
Calibrated,0.85,0.8594815825375169
Calibrated,0.9209783631232362,0.9314697926059513
Calibrated,0.9201877934272301,0.931870141746685
Calibrated,0.9216981132075472,0.928212162780064
Calibrated,0.9224489795918368,0.9215896885069816
Calibrated,0.9174311926605505,0.9194414607948441
Calibrated,0.9239999999999999,0.9223107569721115
Calibrated,0.9473684210526316,0.9462214411247803
Calibrated,0.9432098765432098,0.9453178400546821
Calibrated,0.9502262443438914,0.9494190020505809
SOR,0.782312925170068,0.884333821376281
SOR,0.802675585284281,0.8905775075987842
SOR,0.802013422818792,0.8844984802431611
SOR,0.6798029556650247,0.9079457364341086
SOR,0.6974483596597812,0.9040826364977865
SOR,0.6990291262135923,0.9080177078209543
SOR,0.8517647058823529,0.9301825993555316
SOR,0.8571428571428571,0.9280343716433943
SOR,0.8517647058823529,0.9215896885069816
SOR,0.8067020841847159,0.9327062228654125
SOR,0.8047482603356528,0.9363241678726483
SOR,0.799835593916975,0.9349736379613357
LOF,0.8132231404958677,0.8541033434650457
LOF,0.8363047001620745,0.8562401263823064
LOF,0.8198347107438017,0.8499210110584517
LOF,0.6910866910866912,0.8548942449581898
LOF,0.6958637469586375,0.8653100775193798
LOF,0.683855125844076,0.8401598401598401
LOF,0.7698113207547169,0.8065268065268065
LOF,0.7544757033248082,0.7855477855477855
LOF,0.7445442875481386,0.7948717948717948
LOF,0.5614208189442526,0.7044353335818113
LOF,0.5666502705361534,0.7094542659492697
LOF,0.5574257425742574,0.7036906854130052
