k,tau,theory_q25,theory_median,empirical,wilson_lo,wilson_hi,seed_std
8,0.0,0.3029775,0.088485,0.31416666666666665,0.3074256859552794,0.3209869523785303,0.005355855224442228
8,0.1,0.1972525,0.04143,0.2169444444444444,0.21098387991283787,0.22302580388709056,0.006371716050805992
8,0.3,0.053785,0.004685,0.07544444444444444,0.07167604768441231,0.07939402171677593,0.004706837684438918
12,0.0,0.19934,0.04664,0.17772222222222223,0.17220645976383173,0.18337551780699957,0.006170919454471937
12,0.1,0.1022625,0.0155575,0.09555555555555556,0.09134668734552605,0.09993702179352792,0.004738208235604532
12,0.3,0.012435,0.000605,0.012833333333333334,0.011289861795677866,0.014584704885690846,0.002004624283629857
16,0.0,0.1326775,0.0258525,0.10799999999999998,0.10354901551779512,0.11261827180159562,0.001569382987980618
16,0.1,0.0527775,0.00618,0.043833333333333335,0.040938593836087146,0.046922743490941984,0.0019196836159078882
16,0.3,0.0028525,8.5e-05,0.003388888888888889,0.002639349613690282,0.0043503586272442525,0.0026747562482690498
24,0.0,0.0587625,0.0081325,0.04461111111111111,0.04169103655268316,0.04772552441061701,0.006464050635420793
24,0.1,0.013985,0.001085,0.011500000000000002,0.010043312467984254,0.013165156551205516,0.0033416562759605705
24,0.3,0.000125,2.5e-06,0.0003333333333333333,0.00015277624123204286,0.0007271248572090807,0.0004714045207910317
32,0.0,0.02551,0.0026775,0.02038888888888889,0.018424276215720296,0.022558177217995763,0.003982213541657206
32,0.1,0.003575,0.0001875,0.0032222222222222222,0.0024936166253837454,0.004162829407778421,0.001837537267615692
32,0.3,1.25e-05,2.5e-06,0.0,-1.354963536277938e-20,0.00021337668289638805,0.0
