k,pi,delta,power_q75,power_mad
12,0.25,0.0,0.201205,0.321745
12,0.25,0.5,0.22899,0.34931
12,0.25,1.0,0.322795,0.428405
12,0.25,1.5,0.4736,0.545565
12,0.25,2.0,0.63871,0.653795
12,0.25,2.5,0.790115,0.73735
12,0.25,3.0,0.892695,0.78655
12,0.25,3.5,0.951025,0.80645
12,0.25,4.0,0.979475,0.813105
12,0.25,4.5,0.99213,0.81485
12,0.25,5.0,0.997425,0.816045
12,0.25,5.5,0.9992,0.816575
12,0.25,6.0,0.99981,0.816145
12,0.333,0.0,0.201245,0.32395
12,0.333,0.5,0.236595,0.35659
12,0.333,1.0,0.34873,0.45412
12,0.333,1.5,0.53451,0.601255
12,0.333,2.0,0.735255,0.749
12,0.333,2.5,0.88741,0.857015
12,0.333,3.0,0.96527,0.91502
12,0.333,3.5,0.99249,0.93884
12,0.333,4.0,0.998775,0.947245
12,0.333,4.5,0.999825,0.949155
12,0.333,5.0,0.999985,0.948455
12,0.333,5.5,1.0,0.94842
12,0.333,6.0,1.0,0.94852
12,0.5,0.0,0.20034,0.322055
12,0.5,0.5,0.24092,0.360365
12,0.5,1.0,0.37139,0.474415
12,0.5,1.5,0.58263,0.649505
12,0.5,2.0,0.79706,0.82364
12,0.5,2.5,0.93408,0.93778
12,0.5,3.0,0.98625,0.98513
12,0.5,3.5,0.99803,0.997495
12,0.5,4.0,0.999875,0.999635
12,0.5,4.5,0.999995,0.999945
12,0.5,5.0,1.0,0.999995
12,0.5,5.5,1.0,1.0
12,0.5,6.0,1.0,1.0
24,0.25,0.0,0.05891,0.15117
24,0.25,0.5,0.07859,0.181565
24,0.25,1.0,0.15175,0.268795
24,0.25,1.5,0.312595,0.41637
24,0.25,2.0,0.546735,0.58404
24,0.25,2.5,0.76944,0.710885
24,0.25,3.0,0.90574,0.78038
24,0.25,3.5,0.967215,0.80944
24,0.25,4.0,0.98973,0.82093
24,0.25,4.5,0.996645,0.82085
24,0.25,5.0,0.99911,0.822295
24,0.25,5.5,0.999845,0.8218
24,0.25,6.0,0.999945,0.82377
24,0.333,0.0,0.058435,0.152715
24,0.333,0.5,0.081335,0.18463
24,0.333,1.0,0.179215,0.3
24,0.333,1.5,0.39161,0.49849
24,0.333,2.0,0.684315,0.72445
24,0.333,2.5,0.900025,0.877385
24,0.333,3.0,0.98203,0.944085
24,0.333,3.5,0.99816,0.966295
24,0.333,4.0,0.99988,0.972725
24,0.333,4.5,1.0,0.973845
24,0.333,5.0,1.0,0.975045
24,0.333,5.5,1.0,0.974215
24,0.333,6.0,1.0,0.9748
24,0.5,0.0,0.05895,0.15194
24,0.5,0.5,0.086045,0.190525
24,0.5,1.0,0.19958,0.3242
24,0.5,1.5,0.45843,0.574645
24,0.5,2.0,0.77483,0.832665
24,0.5,2.5,0.953705,0.965195
24,0.5,3.0,0.996005,0.996455
24,0.5,3.5,0.99985,0.99983
24,0.5,4.0,1.0,1.0
24,0.5,4.5,1.0,1.0
24,0.5,5.0,1.0,1.0
24,0.5,5.5,1.0,1.0
24,0.5,6.0,1.0,1.0
