mode,n,h,sigma,rel,mean_absfield
fixed_r,2000,0.030417070232566,0.015208535116283,0.5,0.08635498014695898
fixed_r,8000,0.01675941174126276,0.00837970587063138,0.5,0.08749377287735406
fixed_r,32000,0.008324814673909563,0.004162407336954782,0.5,0.09173662818825018
fixed_sigma,2000,0.030417070232566,0.012,0.3945153135475952,0.06688339128087843
fixed_sigma,8000,0.01675941174126276,0.012,0.716015584870155,0.1287807258081348
fixed_sigma,32000,0.008324814673909563,0.012,1.4414735306491175,0.2435435723100949
fixed_r_L2diff,0,0,0,0,1.0216138079916455
fixed_r_d12,0,0,0,0,0.14823347774406068
fixed_r_d23,0,0,0,0,0.15143736766995466
fixed_sigma_L2diff,0,0,0,0,1.9538111524972053
fixed_sigma_d12,0,0,0,0,0.17226253988268153
fixed_sigma_d23,0,0,0,0,0.3365684715802778
